,paper_id,fig_id,label,url
0,c7ta02661g,f6,Time,https://pubs.rsc.org/image/article/2017/ta/c7ta02661g/c7ta02661g-f6_hi-res.gif
1,c7ta03083e,f5,Time,https://pubs.rsc.org/image/article/2017/ta/c7ta03083e/c7ta03083e-f5_hi-res.gif
2,c8ta05978k,f6,Time,https://pubs.rsc.org/image/article/2018/ta/c8ta05978k/c8ta05978k-f6_hi-res.gif
3,c9ta06038c,f9,Time,https://pubs.rsc.org/image/article/2019/ta/c9ta06038c/c9ta06038c-f9_hi-res.gif
4,c5ta02201k,f7,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta02201k/c5ta02201k-f7_hi-res.gif
5,c5ta02662h,f9,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta02662h/c5ta02662h-f9_hi-res.gif
6,c5ta04716a,f8,Time,https://pubs.rsc.org/image/article/2016/ta/c5ta04716a/c5ta04716a-f8_hi-res.gif
7,c5ta05350a,f10,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta05350a/c5ta05350a-f10_hi-res.gif
8,c6ta00614k,f4,Time,https://pubs.rsc.org/image/article/2016/ta/c6ta00614k/c6ta00614k-f4_hi-res.gif
9,c6ta00912c,f5,Time,https://pubs.rsc.org/image/article/2016/ta/c6ta00912c/c6ta00912c-f5_hi-res.gif
10,c6ta04726b,f8,Time,https://pubs.rsc.org/image/article/2016/ta/c6ta04726b/c6ta04726b-f8_hi-res.gif
11,c6ta10910a,f2,Time,https://pubs.rsc.org/image/article/2017/ta/c6ta10910a/c6ta10910a-f2_hi-res.gif
12,c7ta04351a,f7,Time,https://pubs.rsc.org/image/article/2017/ta/c7ta04351a/c7ta04351a-f7_hi-res.gif
13,c7ta09807c,f3,Time,https://pubs.rsc.org/image/article/2018/ta/c7ta09807c/c7ta09807c-f3_hi-res.gif
14,c7ta09814f,f10,Time,https://pubs.rsc.org/image/article/2018/ta/c7ta09814f/c7ta09814f-f10_hi-res.gif
15,c8ta05288c,f6,Time,https://pubs.rsc.org/image/article/2018/ta/c8ta05288c/c8ta05288c-f6_hi-res.gif
16,c8ta05970e,f9,Time,https://pubs.rsc.org/image/article/2018/ta/c8ta05970e/c8ta05970e-f9_hi-res.gif
17,c8ta06989a,f5,Time,https://pubs.rsc.org/image/article/2018/ta/c8ta06989a/c8ta06989a-f5_hi-res.gif
18,c8ta07973k,f6,Time,https://pubs.rsc.org/image/article/2018/ta/c8ta07973k/c8ta07973k-f6_hi-res.gif
19,c8ta12359d,f14,Time,https://pubs.rsc.org/image/article/2019/ta/c8ta12359d/c8ta12359d-f14_hi-res.gif
20,c5ta00783f,f10,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta00783f/c5ta00783f-f10_hi-res.gif
21,c5ta02207j,f9,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta02207j/c5ta02207j-f9_hi-res.gif
22,c5ta02446c,f2,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta02446c/c5ta02446c-f2_hi-res.gif
23,c5ta03238e,f13,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta03238e/c5ta03238e-f13_hi-res.gif
24,c5ta05688h,f10,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta05688h/c5ta05688h-f10_hi-res.gif
25,c6ta01862a,f2,Time,https://pubs.rsc.org/image/article/2016/ta/c6ta01862a/c6ta01862a-f2_hi-res.gif
26,c6ta02284g,f8,Time,https://pubs.rsc.org/image/article/2016/ta/c6ta02284g/c6ta02284g-f8_hi-res.gif
27,c6ta05226f,f4,Time,https://pubs.rsc.org/image/article/2016/ta/c6ta05226f/c6ta05226f-f4_hi-res.gif
28,c6ta05380g,f21,Time,https://pubs.rsc.org/image/article/2016/ta/c6ta05380g/c6ta05380g-f21_hi-res.gif
29,c6ta07616e,f5,Time,https://pubs.rsc.org/image/article/2016/ta/c6ta07616e/c6ta07616e-f5_hi-res.gif
30,c4ta06124a,f8,Time,https://pubs.rsc.org/image/article/2015/ta/c4ta06124a/c4ta06124a-f8_hi-res.gif
31,c7ta10575d,f13,Time,https://pubs.rsc.org/image/article/2018/ta/c7ta10575d/c7ta10575d-f13_hi-res.gif
32,c8ta03297a,f3,Time,https://pubs.rsc.org/image/article/2018/ta/c8ta03297a/c8ta03297a-f3_hi-res.gif
33,c4ta06991a,f7,Time,https://pubs.rsc.org/image/article/2015/ta/c4ta06991a/c4ta06991a-f7_hi-res.gif
34,c9ta07465a,f8,Time,https://pubs.rsc.org/image/article/2019/ta/c9ta07465a/c9ta07465a-f8_hi-res.gif
35,c4ta07150f,f6,Time,https://pubs.rsc.org/image/article/2015/ta/c4ta07150f/c4ta07150f-f6_hi-res.gif
36,c5ta01109d,f6,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta01109d/c5ta01109d-f6_hi-res.gif
37,c5ta01730k,f6,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta01730k/c5ta01730k-f6_hi-res.gif
38,c5ta01861g,f6,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta01861g/c5ta01861g-f6_hi-res.gif
39,c5ta05664k,f3,Time,https://pubs.rsc.org/image/article/2015/ta/c5ta05664k/c5ta05664k-f3_hi-res.gif
40,c4ta05292g,f7,Time,https://pubs.rsc.org/image/article/2015/ta/c4ta05292g/c4ta05292g-f7_hi-res.gif
41,c6ta03284b,f5,Time,https://pubs.rsc.org/image/article/2016/ta/c6ta03284b/c6ta03284b-f5_hi-res.gif
42,c7ta07264c,f10,Time,https://pubs.rsc.org/image/article/2017/ta/c7ta07264c/c7ta07264c-f10_hi-res.gif
43,c8ta00576a,f10,Time,https://pubs.rsc.org/image/article/2018/ta/c8ta00576a/c8ta00576a-f10_hi-res.gif
44,c8ta09826c,f7,Time,https://pubs.rsc.org/image/article/2019/ta/c8ta09826c/c8ta09826c-f7_hi-res.gif
45,c9ta02449b,f19,Time,https://pubs.rsc.org/image/article/2019/ta/c9ta02449b/c9ta02449b-f19_hi-res.gif
